"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","throws on error","test/src/data/repositories/partner_application_repository_test.dart","2026-04-01","passed","2026-04-01","updateApplication","PartnerApplicationRepository","",""
"","11","creates and returns new location","test/src/data/repositories/location_repository_test.dart","2026-04-01","passed","2026-04-01","createLocation","LocationRepository","",""
"","7","returns application when found","test/src/data/repositories/event_repository_queries_test.dart","2026-04-01","passed","2026-04-01","getApplication","EventRepository Queries","",""
"","29","upload area contains InkWell for tap interaction","test/ui/widgets/common/minglit_file_picker_test.dart","2026-04-01","passed","2026-04-01","","MinglitFilePicker Widget Tests","",""
"","3","throws on network error","test/src/data/repositories/verification_command_repository_test.dart","2026-04-01","passed","2026-04-01","restoreVerification","VerificationRepository (command)","",""
"","3","passes verification data when provided","test/src/data/repositories/event_repository_commands_test.dart","2026-04-01","passed","2026-04-01","applyEvent","EventRepository Commands","",""
"","3","상태 전이 순서 보장: enum 순서 확인","test/src/features/home/logic/event_now_bar_state_provider_test.dart","2026-04-01","passed","2026-04-01","","eventNowBarStateProvider — 6-state 상태 머신","",""
"","26","applies custom padding","test/src/ui/widgets/common/minglit_section_test.dart","2026-04-01","passed","2026-04-01","","MinglitSection","",""
"","21","guest status returns login label","test/src/features/event/admission/admission_button_config_test.dart","2026-04-01","passed","2026-04-01","","AdmissionButtonConfig","",""
"","3","throws on db error","test/src/data/repositories/settlement_repository_test.dart","2026-04-01","passed","2026-04-01","getSettlementDashboard","SettlementRepository","",""
"","6","returns tickets for party","test/src/data/repositories/ticket_repository_test.dart","2026-04-01","passed","2026-04-01","getTicketsByPartyId","TicketRepository","",""
"","284","결과 카드 tap → EventDetailPage 이동","test/integration/flow_search_curation_test.dart","2026-04-01","passed","2026-04-01","","SearchPage","",""
"","36","uses pill-shaped border radius","test/src/ui/widgets/common/minglit_tag_test.dart","2026-04-01","passed","2026-04-01","","MinglitTag","",""
"","2","returns empty list when no upcoming events","test/src/data/repositories/event_repository_test.dart","2026-04-01","passed","2026-04-01","getUpcomingEvents","EventRepository","",""
"","4","maxVoteCountProvider returns the highest configured vote count","test/src/data/repositories/matching_repository_test.dart","2026-04-01","passed","2026-04-01","","MatchingRepository providers","",""
"","66","Step 1 (verification) renders step indicator + form content","test/integration/flow_ticket_application_test.dart","2026-04-01","passed","2026-04-01","","EventApplicationWizardPage","",""
"","3","born 25 years ago returns 25","test/src/utils/age_util_test.dart","2026-04-01","passed","2026-04-01","calculateManAge","AgeUtil","",""
"","3","marks ineligible when user profile is null","test/src/features/event/admission/ticket_recommendation_util_test.dart","2026-04-01","passed","2026-04-01","","TicketRecommendationUtil","",""
"","30","does not call onTap when disabled","test/ui/widgets/common/minglit_list_tile_test.dart","2026-04-01","passed","2026-04-01","","MinglitListTile","",""
"","34","displays title when provided","test/src/ui/widgets/common/minglit_bottom_sheet_test.dart","2026-04-01","passed","2026-04-01","","MinglitBottomSheet","",""
"","2","returns 0 on error (fail-safe)","test/src/data/repositories/event_repository_queries_test.dart","2026-04-01","passed","2026-04-01","getPendingApplicationCount","EventRepository Queries","",""
"","7","returns null when repository has no current user","test/src/features/auth/auth_state_provider_test.dart","2026-04-01","passed","2026-04-01","","currentUserProvider","",""
"","3","createFromTemplate copies fields","test/src/data/models/party_entry_group_test.dart","2026-04-01","passed","2026-04-01","","EntryGroup","",""
"","7","createFromParty metadata is a deep copy","test/src/data/models/event_test.dart","2026-04-01","passed","2026-04-01","","Event","",""
"","119","홈 AsyncData → 이벤트 카드 리스트 렌더링","test/integration/flow_event_browse_test.dart","2026-04-01","passed","2026-04-01","","이벤트 탐색 플로우 — 홈→상세→파트너","",""
"","34","does not show file remove buttons when no files are selected","test/ui/widgets/common/minglit_file_picker_test.dart","2026-04-01","passed","2026-04-01","","MinglitFilePicker Widget Tests","",""
"","26","avatar takes precedence over leading","test/ui/widgets/common/minglit_list_tile_test.dart","2026-04-01","passed","2026-04-01","","MinglitListTile","",""
"","15","returns list of notifications","test/src/data/repositories/notification_repository_test.dart","2026-04-01","passed","2026-04-01","getNotifications","NotificationRepository","",""
"","6","returns null when not found","test/src/data/repositories/settlement_repository_test.dart","2026-04-01","passed","2026-04-01","getPartnerSettlementInfo","SettlementRepository","",""
"","4","roundtrip fromJson/toJson preserves data","test/src/features/iamport/data/model/iamport_result_model_test.dart","2026-04-01","passed","2026-04-01","toJson","IamportResultModel","",""
"","5","calls partner-approve-application EF with approve action","test/src/data/repositories/event_repository_commands_test.dart","2026-04-01","passed","2026-04-01","approveApplication","EventRepository Commands","",""
"","32","from이 null이면 홈(/)으로 이동한다","test/src/features/consent/logic/consent_coordinator_test.dart","2026-04-01","passed","2026-04-01","","completeSignup","",""
